==29944== NVPROF is profiling process 29944, command: ./gemm -s 4 -n 1
==29944== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==29944== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29944== Profiling application: ./gemm -s 4 -n 1
==29944== Profiling result:
==29944== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"inst_per_warp","Instructions per warp",1079841.000000,1079841.000000,1079841.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.991758%,99.991758%,99.991758%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"inst_replay_overhead","Instruction Replay Overhead",0.000001,0.000001,0.000001
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.998765,1.998765,1.998765
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",3.997927,3.997927,3.997927
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"gld_transactions_per_request","Global Load Transactions Per Request",62.886387,62.916544,62.898440
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.428215,4.171272
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"shared_store_transactions","Shared Store Transactions",1777305600,1777305600,1777305600
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"shared_load_transactions","Shared Load Transactions",14166835198,14166835200,14166835199
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"local_load_transactions","Local Load Transactions",0,1139712,455884
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"local_store_transactions","Local Store Transactions",0,817152,490076
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"gld_transactions","Global Load Transactions",28311552002,28325128658,28316978331
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"gst_transactions","Global Store Transactions",29491200,32648344,30753956
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"sysmem_read_transactions","System Memory Read Transactions",0,11424,4567
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"sysmem_write_transactions","System Memory Write Transactions",5,10757,4305
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"l2_read_transactions","L2 Read Transactions",7076119480,7080167848,7077730421
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"l2_write_transactions","L2 Write Transactions",29491220,33551607,31925268
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"dram_read_transactions","Device Memory Read Transactions",4512295791,4834745207,4666316693
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"dram_write_transactions","Device Memory Write Transactions",29527128,33395704,31074176
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"global_hit_rate","Global Hit Rate in unified l1/tex",0.020144%,0.028601%,0.025484%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",5,"local_hit_rate","Local Hit Rate",0.000000%,49.056604%,19.622642%
